OBJECTID,id_no,binomial,Shape_Length,Shape_Area,original_area_km2
1,520,Adelotus brevis,75.93579576,43.84715531,478481.7616
2,596,Afrixalus aureus,17.63152445,9.035004249,100277.5601
3,928,Alsodes barrioi,2.350024721,0.23135976,2257.331172
4,929,Alsodes montanus,3.471716481,0.503912324,5165.24333
5,932,Alsodes vanzolinii,2.66140646,0.107923167,1065.631786
6,977,Alytes muletensis,1.204390684,0.024020815,228.5124544
7,979,Alytes dickhilleni,8.474238122,3.14027736,30785.83229
8,1093,Ambystoma lermaense,0.686140873,0.025673962,298.9818579
9,1095,Ambystoma mexicanum,0.322910073,0.002766332,32.18059204
10,1098,Ambystoma californiense,21.28740147,1.776315253,17504.50426
11,1099,Ambystoma cingulatum,23.28247124,8.754465871,92474.78069
12,1272,Andrias davidianus,84.4172028,45.62245241,485718.4455
13,1273,Andrias japonicus,27.01666152,5.623422301,57086.02742
14,1282,Aneides aeneus,72.15990064,17.6090389,174759.6711
15,1301,Anhydrophryne rattrayi,2.85978011,0.219618533,2285.054849
16,2119,Arthroleptides dutoiti,1.175470419,0.067845536,834.9910258
17,2295,Chaltenobatrachus grandisonae,32.31660994,3.621785832,29931.89341
18,2296,Atelognathus nitoi,0.188016539,0.002813025,26.18066658
19,2297,Atelognathus reverberii,3.822064926,0.127326381,1177.976995
20,2298,Atelognathus solitarius,0.199392781,0.00316374,29.35857391
21,2645,Telmatobius macrostomus,3.334612893,0.355295315,4293.180782
22,2647,Batrachoseps simatus,0.668930181,0.017805728,178.566677
23,2648,Batrachoseps stebbinsi,1.136423575,0.034903256,352.0094923
24,2649,Batrachoseps campi,0.744285721,0.033568925,332.6905123
25,2650,Batrachoseps relictus,2.168166566,0.096686491,968.6244528
26,2664,Afghanodon mustersi,0.615556631,0.030151932,306.8672716
27,2665,Paradactylodon persicus,16.70343704,4.126366876,40861.9349
28,2666,Paradactylodon gorganensis,0.22889239,0.00416467,41.16674462
29,2865,Bombina bombina,224.1530958,375.0530252,2923547.118
30,3069,Breviceps gibbosus,6.078961401,0.318626641,3287.492481
31,3070,Breviceps macrops,12.4930603,0.510693951,5555.818407
32,3169,Anaxyrus exsul,0.3654612,0.010628248,104.5084267
33,3170,Anaxyrus houstonensis,8.620161331,2.202000998,23538.3468
34,3172,Incilius periglenes,0.385226507,0.011808954,143.0825189
35,3173,Anaxyrus retiformis,10.54118787,4.919491769,52080.40848
36,3176,Vandijkophrynus amatolicus,0.675452353,0.011706691,121.9595474
37,3177,Rhinella atacamensis,11.40847797,1.23888008,13592.88342
38,3179,Anaxyrus boreas,473.5197083,343.653671,2853320.237
39,3180,Anaxyrus canorus,4.833877545,1.054239954,10315.44563
40,3181,Anaxyrus nelsoni,0.407548592,0.007730724,76.39441125
41,3441,Cacosternum capense,5.390115077,0.644529248,6661.776779
42,3442,Cacosternum poyntoni,0.346287978,0.00823765,88.49574465
43,4055,Calyptocephalella gayi,31.9653854,13.86753744,137451.3831
44,4657,Chioglossa lusitanica,22.94128652,5.93413975,54349.57496
45,5263,Conraua goliath,11.55700088,5.673036888,69715.97604
46,6714,Discoglossus montalentii,4.808623924,0.452624449,4154.891843
47,6715,Latonia nigriventer,0.136856647,0.000448946,4.6487983
48,6937,Dyscophus antongilii,12.54094822,3.159082782,37129.65473
49,7142,Eleutherodactylus jasperi,0.668522494,0.00107897,12.6421941
50,7143,Eleutherodactylus cavernicola,0.955143453,0.014262131,167.3404548
51,7144,Eleutherodactylus fuscus,1.248823628,0.043798471,512.5223878
52,7145,Eleutherodactylus junori,1.36780222,0.039018561,456.839593
53,7146,Eleutherodactylus karlschmidti,1.284686625,0.08137243,952.7190321
54,7147,Eleutherodactylus semipalmatus,1.805042119,0.092428822,1080.773314
55,7148,Eleutherodactylus sisyphodemus,0.25249163,0.004715127,55.17815926
56,7149,Eleutherodactylus cooki,5.101449681,0.020380235,238.7745442
57,7150,Eleutherodactylus eneidae,2.787644715,0.164054933,1921.11079
58,7455,Eleutherodactylus principalis,0.879013998,0.044421105,513.3942851
59,8371,Euproctus platycephalus,2.968911591,0.214743445,2028.918027
60,8375,Eupsophus insularis,0.266066045,0.002240838,21.73524187
61,8391,Eurycea nana,0.242838421,0.004692604,50.26392802
62,8392,Eurycea sosorum,0.174728102,0.002429431,25.91516279
63,8393,Eurycea tridentifera,0.745693165,0.022777897,244.1395371
64,9031,Geocrinia alba,0.629572632,0.019076919,195.2535284
65,9032,Geocrinia vitellina,0.149586624,0.001611377,16.50196221
66,9763,Heleioporus albopunctatus,23.06321794,19.35365964,202259.168
67,9772,Heleophryne hewitti,0.676708628,0.013666153,140.5241965
68,9773,Heleophryne rosei,0.103943835,0.00076551,7.846350417
69,10215,Holoaden bradei,0.66680251,0.031653813,360.8652664
70,10304,Hydromantes brunus,0.593093998,0.012219811,119.7680761
71,10305,Hydromantes shastae,1.025135744,0.045742968,428.6033343
72,10350,Dryophytes andersonii,37.57411905,6.6880651,67727.20491
73,10351,Hyla arborea,498.284101,443.5241824,3790917.643
74,10355,Bokermannohyla izecksohni,0.269401575,0.005775364,65.62673985
75,10356,Bokermannohyla langei,0.310268591,0.007660458,85.32137882
76,10357,Boana secedens,0.829815611,0.027776128,320.4813037
77,10459,Boana marianitae,14.21286561,6.120310894,70841.89004
78,10566,Hylodes sazimai,4.898144967,0.434187525,4933.43306
79,10613,Hynobius abei,4.262765875,0.224704487,2256.814942
80,10615,Hynobius hidamontanus,3.320834212,0.25163856,2500.977455
81,10616,Hynobius okiensis,0.990569732,0.025019961,249.5398604
82,10617,Hynobius ikioi,3.804415638,0.460113529,4806.336216
83,10618,Hynobius takedai,4.334007164,0.231438675,2286.798878
84,10634,Stereocyclops histrio,1.057610261,0.037909838,451.1979748
85,10644,Hyperolius pickersgilli,5.478017809,0.282652859,3039.029977
86,10832,Insuetophrynus acarpicus,2.140434081,0.102573562,975.9731042
87,11381,Lechriodus fletcheri,22.35499592,5.920262384,63054.14253
88,11450,Leiopelma archeyi,4.482908684,0.139179426,1376.634667
89,11451,Leiopelma hamiltoni,0.053742783,0.000155093,1.456111702
90,11452,Leiopelma hochstetteri,11.37753826,1.034718102,10111.89691
91,11663,Leptodactylus marambaiae,1.060160183,0.007626375,86.54699485
92,11700,Leptopelis xenodactylus,6.489553924,0.803948618,8620.844397
93,12143,Litoria aurea,85.54767757,17.5348954,178206.7151
94,12144,Litoria brevipalmata,42.50708171,6.682919328,72349.88523
95,12145,Litoria castanea,6.176128183,0.842397399,8519.218866
96,12146,Litoria dentata,38.89278198,12.0507239,128808.9928
97,12147,Litoria lesueurii,24.60074836,10.52508915,105159.0465
98,12148,Litoria nannotis,10.8486327,1.61304257,18951.45075
99,12149,Litoria nyakalensis,7.206531723,0.987503602,11613.40351
100,12150,Litoria pearsoniana,13.59691155,3.359823338,36575.80322
101,12151,Litoria piperata,3.343095842,0.469283008,5020.258476
102,12152,Litoria raniformis,171.7004931,73.26445609,708854.8486
103,12153,Litoria rheocola,8.646951859,1.287781763,15160.965
104,12154,Litoria spenceri,6.343527982,1.678043665,16579.34811
105,12155,Litoria verreauxii,68.24266019,23.06335118,236061.5716
106,12156,Litoria lorica,1.80861516,0.099750178,1179.669011
107,12776,Mantella aurantiaca,0.18320322,0.000890245,10.39003316
108,13032,Melanobatrachus indicus,1.279186688,0.037949693,460.6130562
109,13198,Mertensiella caucasica,13.82514565,2.650611895,24728.14127
110,13318,Microbatrachella capensis,1.157473505,0.01184145,120.9199696
111,13595,Mixophyes balbus,42.40678931,10.65923845,110293.3298
112,13596,Mixophyes fasciolatus,68.0008144,19.49266851,213464.4062
113,13597,Mixophyes fleayi,5.542741515,1.535380862,16768.91182
114,13598,Mixophyes iteratus,38.57424028,9.878165506,105681.4555
115,14663,Sooglossus thomasseti,0.364162587,0.001781381,21.85730064
116,14734,Neurergus crocatus,4.269386349,1.36478325,13421.49864
117,14735,Neurergus strauchii,10.82018035,1.806517511,17492.39667
118,14872,Notophthalmus perstriatus,19.31564391,5.657604229,60097.40839
119,14969,Litoria dayi,10.62989726,1.600239231,18805.92667
120,16129,Paramesotriton deloustali,141.5012966,3.158240163,35966.66116
121,16190,Paratelmatobius gaigeae,0.313297242,0.007810741,88.82181927
122,16191,Paratelmatobius lutzii,0.299955787,0.00715968,81.66937785
123,16469,Pedostibes kempi,0.083451466,0.000554175,6.171756316
124,16470,Pedostibes tuberculosus,2.645732215,0.135861094,1641.060704
125,16498,Pelobates fuscus,319.5311417,588.5481933,4501496.233
126,16801,Phaeognathus hubrichti,3.304078173,0.091604481,963.5575349
127,16997,Philoria frosti,0.456714625,0.010565827,103.2419253
128,17078,Phrynomedusa fimbriata,0.358698932,0.010238569,115.6785699
129,17518,Cornufer vitianus,13.06556647,0.841779974,9910.795752
130,17519,Platymantis insulatus,0.206610522,0.000708286,8.544781235
131,17520,Platymantis spelaeus,1.411665846,0.132350233,1606.701807
132,17524,Platymantis banahao,0.388902485,0.009818352,117.3245275
133,17528,Platymantis cornutus,13.70721765,1.382969047,16284.47591
134,17534,Platymantis hazelae,2.773449363,0.19351073,2345.97936
135,17537,Platymantis levigatus,3.059086548,0.101927576,1226.040361
136,17546,Platymantis negrosensis,3.384227285,0.167862072,2035.69834
137,17548,Platymantis panayensis,2.622389371,0.147268547,1778.316873
138,17551,Platymantis polillensis,7.833432845,0.462905535,5474.630583
139,17553,Platymantis rabori,9.063440907,0.574097713,6969.662138
140,17558,Platymantis subterrestris,2.680285662,0.28022111,3306.268165
141,17625,Plethodon larselli,15.29030447,1.821890862,15721.05101
142,17626,Plethodon neomexicanus,2.171437024,0.375209295,3756.932875
