OBJECTID,FID_AMPHIBIANS_Dissolve,id_no,binomial,original_area_km2,FID_Basins,Type,ID,Structure,Area,SubClass,MainClass,VERTEX,Shape_Length,Shape_Area,final_area_km2
1,130,17519,Platymantis insulatus,8.544781235,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,0.037358237,7.66587E-06,0.092484409
2,133,17528,Platymantis cornutus,16284.47591,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,0.068391202,4.932E-05,0.582082854
3,135,17537,Platymantis levigatus,1226.040361,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,2.233545817,0.001755248,21.11308529
4,138,17551,Platymantis polillensis,5474.630583,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,0.145891578,0.000682446,7.983867322
5,208,25382,Ichthyophis glandulosus,1447.37009,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,1.731326385,0.002116436,25.88842212
6,227,29450,Platymantis pygmaeus,16210.04457,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,1.450067941,0.005663673,66.75875248
7,410,41232,Limnonectes visayanus,5846.22143,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,2.295539926,0.002869434,34.84349765
8,415,41238,Limnonectes kohchangae,25346.73679,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,8.364351935,0.078774942,950.9237472
9,524,54464,Ansonia albomaculata,93719.92159,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,1.175283364,0.003622919,44.50281417
10,638,54581,Duttaphrynus atukoralei,6841.849289,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,3.312934659,0.022671583,276.9074915
11,639,54582,Bufo bankorensis,21413.55319,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,3.357602038,0.007455868,84.50990715
12,156,19168,Babina holsti,250.7127115,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,0.231290498,0.000322289,3.56858373
13,157,19172,Babina subaspera,784.5524339,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,4.10378668,0.007960517,86.5697199
14,167,19242,Pulchrana melanomenta,164.1823014,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,1.225036716,0.000968705,11.88349571
15,168,19304,Ranodon sibiricus,16100.16703,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,5.856370517,0.115422242,1012.105921
16,184,21283,Tachycnemis seychellensis,180.3706856,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,1.164125519,0.001258346,15.44331025
17,207,23900,Barbourula busuangensis,1842.907785,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,1.353394354,0.000928059,11.1871337
18,412,41234,Limnonectes woodworthi,25845.17252,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,8.075116439,0.03214554,378.1048208
19,414,41237,Quasipaa fasciculispina,6052.748839,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,0.265861553,0.0003013,3.631813764
20,533,54474,Ansonia malayana,84629.96289,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,17.968263,0.262334296,3210.051563
