OBJECTID,SISID,binomial,Shape_Length,Shape_Area,Original_area_km2
1,22678073,Rhea americana,163.9939416,575.6293611,6537549.625
2,22678108,Casuarius casuarius,345.2477997,32.5332497,397041.4254
3,22678111,Casuarius bennetti,102.7501627,32.35509235,396485.2121
4,22678114,Casuarius unappendiculatus,170.5895189,15.08352607,185345.8361
5,22678117,Dromaius novaehollandiae,367.8822705,610.206395,6731948.286
6,22678122,Apteryx australis,26.73673149,1.269211461,11014.78627
7,22678129,Apteryx owenii,0.718425035,0.003686697,35.16832688
8,22678132,Apteryx haastii,14.99597761,4.34529868,39564.26019
9,22678135,Tinamus tao,152.0792526,314.3018456,3810449.849
10,22678139,Tinamus solitarius,90.41026747,93.92152895,1069716.752
11,22678145,Tinamus osgoodi,20.69195587,2.38082144,28701.76253
12,22678148,Tinamus major,350.9891237,629.3469382,7672568.126
13,22678151,Tinamus guttatus,103.1148195,324.9562533,3970851.142
14,22678154,Nothocercus bonapartei,70.21407371,11.28222431,137924.6241
15,22678157,Nothocercus julius,44.33604049,11.3511888,139148.4711
16,22678160,Nothocercus nigrocapillus,49.19151852,17.17281226,206296.6761
17,22678163,Crypturellus berlepschi,27.95784019,4.848545495,59537.62905
18,22678166,Crypturellus cinereus,123.2816705,484.3786761,5924663.812
19,22678169,Crypturellus soui,375.6310115,918.879545,11150768.13
20,22678172,Crypturellus ptaritepui,2.610549395,0.153815821,1885.288066
21,22678176,Crypturellus obsoletus,172.3877722,159.2245058,1841836.337
22,22678182,Crypturellus undulatus,182.8345393,706.4325213,8533436.656
23,22678185,Crypturellus transfasciatus,22.08368984,4.607776674,56652.90933
24,22678188,Crypturellus strigulosus,106.0014798,213.1544498,2589973.92
25,22678191,Crypturellus boucardi,56.14831031,28.18581182,334422.539
26,22678194,Crypturellus kerriae,10.82184233,1.55230321,18968.39463
27,22678213,Crypturellus duidae,44.32224212,23.74828514,291938.6168
28,22678217,Crypturellus noctivagus,85.64718392,125.0553154,1469564.6
29,22678220,Crypturellus atrocapillus,32.60874124,24.66223464,296376.6308
30,22678223,Crypturellus variegatus,156.3201849,444.2330154,5436783.506
31,22678226,Crypturellus brevirostris,50.50063813,67.81639369,833101.7774
32,22678229,Crypturellus bartletti,54.8606217,132.2801702,1611451.785
33,22678232,Crypturellus parvirostris,159.0936761,558.4095622,6659521.445
34,22678235,Crypturellus casiquiare,17.33885982,7.036985348,86539.77872
35,22678238,Crypturellus tataupa,161.1107165,418.0214489,4856027.09
36,22678246,Nothoprocta taczanowskii,59.10070106,2.221638191,26581.49318
37,22678254,Nothoprocta ornata,58.56624131,65.68055847,765341.3242
38,22678259,Nothoprocta pentlandii,109.9610995,54.1737763,612681.7426
39,22678262,Nothoprocta cinerascens,57.07682634,112.8262803,1208948.99
40,22678265,Nothoprocta perdicaria,36.66468889,11.81129096,118758.8716
41,22678268,Nothoprocta curvirostris,26.44785185,4.287435618,52527.96828
42,22678271,Nothura darwinii,91.77572738,105.0359429,1098914.083
43,22678280,Nothura minor,37.23541989,93.54054776,1085711.057
44,22678283,Nothura boraquira,66.86072748,112.4952206,1348278.203
45,22678286,Taoniscus nanus,52.04318642,92.25149057,1082744.507
46,22678289,Eudromia elegans,94.98206387,152.9532077,1493735.893
47,22678294,Eudromia formosa,20.75025016,25.50301634,285819.9345
48,22678299,Tinamotis pentlandii,45.69166898,54.29773287,632713.2285
49,22678302,Tinamotis ingoufi,36.77035154,47.8640638,403733.9953
50,22678305,Ortalis vetula,99.03990533,51.92723689,603441.0708
51,22678308,Ortalis cinereiceps,73.5261967,19.5533223,236333.5574
52,22678312,Ortalis garrula,16.07429329,9.020312923,109708.7347
53,22678315,Ortalis ruficauda,87.81803981,39.02354797,474274.2983
54,22678318,Ortalis erythroptera,32.53347664,6.062616771,74565.59309
55,22678322,Ortalis wagleri,21.90083858,10.22410948,114050.2618
56,22678325,Ortalis poliocephala,41.35326963,17.10605559,200030.8859
57,22678328,Ortalis canicollis,46.14156098,103.6965809,1171751.378
58,22678331,Ortalis leucogastra,27.48150949,4.795081961,57389.50381
59,22678342,Ortalis motmot,83.7487584,173.89008,2134681.342
60,22678348,Ortalis superciliaris,65.69065696,35.938617,441364.988
61,22678354,Penelope argyrotis,32.17611611,7.299426053,88747.86115
62,22678357,Penelope barbata,38.04649592,1.958344993,24010.99138
63,22678360,Penelope ortoni,47.67687369,6.319702537,77623.51304
64,22678364,Penelope montagnii,85.59993164,30.34107695,368470.2266
65,22678367,Penelope marail,64.12199413,99.17248644,1217965.052
66,22678370,Penelope superciliaris,173.8502587,472.6067782,5614375.838
67,22678373,Penelope dabbenei,11.96398489,2.773643515,31908.69624
68,22678376,Penelope purpurascens,319.1888335,106.3584987,1269387.222
69,22678379,Penelope perspicax,24.20313144,1.226448766,15067.20442
70,22678382,Penelope albipennis,10.51198762,1.516150377,18595.61188
71,22678386,Penelope jacquacu,94.51333072,410.4884455,5007154.2
72,22678389,Penelope obscura,99.45810158,92.4102535,1012788.163
73,22678392,Penelope pileata,43.1333431,85.44203411,1046606.053
74,22678395,Penelope ochrogaster,54.09063668,6.798100328,81232.68572
75,22678398,Penelope jacucaca,29.03213052,50.90316368,617589.9076
76,22678401,Pipile pipile,3.536164618,0.281105183,3403.907407
77,22678422,Pipile cujubi,71.49029568,220.6143019,2677709.929
78,22678429,Pipile jacutinga,152.9889871,93.9538971,1063422.012
79,22678440,Aburria aburri,62.93202401,11.42775106,139295.098
80,22678443,Chamaepetes unicolor,41.99715548,1.282075097,15572.60155
81,22678446,Chamaepetes goudotii,108.0980995,25.93002659,316274.2661
82,22678449,Penelopina nigra,31.65719521,8.687371102,103253.1064
83,22678453,Oreophasis derbianus,64.64707438,2.619028055,31132.27402
84,22678461,Nothocrax urumutum,60.33639658,164.7819413,2023178.609
85,22678464,Mitu tomentosum,52.42398286,101.5372941,1247610.608
86,22678472,Mitu salvini,27.24498291,39.85131194,490122.8276
87,22678478,Mitu tuberosum,109.4823669,321.0142185,3902172.819
88,22678486,Mitu mitu,0.566935193,0.025577265,310.4122167
89,22678497,Pauxi pauxi,56.86621512,9.301315769,113170.0054
90,22678521,Crax rubra,178.5988867,55.71612616,662058.0318
91,22678525,Crax alberti,48.51406406,4.649313308,56719.75843
92,22678530,Crax daubentoni,51.07143676,33.15367585,403099.5399
93,22678534,Crax alector,102.3135356,170.9223805,2099436.162
94,22678537,Crax globulosa,40.53917988,4.864094323,59151.3206
95,22678544,Crax blumenbachii,23.14798639,11.82081983,137786.9111
96,22678551,Alectura lathami,159.2931957,57.29147801,647199.4559
97,22678555,Aepypodius arfakianus,97.16538221,15.94312859,195287.4726
98,22678559,Aepypodius bruijnii,1.160582184,0.068192522,839.3829341
99,22678564,Talegalla cuvieri,70.17128938,9.932200414,122105.9109
100,22678568,Talegalla fuscirostris,115.7845047,23.26987885,284371.3368
101,22678572,Talegalla jobiensis,76.19862121,18.17298289,222871.0904
102,22678576,Macrocephalon maleo,56.2853861,11.89562803,146297.3162
103,22678583,Megapodius nicobariensis,6.773320237,0.189087843,2301.927862
104,22678588,Megapodius cumingii,313.7934871,37.71140033,457462.5073
105,22678593,Megapodius bernsteinii,19.550161,0.348155199,4283.593375
106,22678602,Megapodius freycinet,72.83204353,4.856737111,59730.50201
107,22678607,Megapodius decollatus,64.07555544,19.5256475,239676.5588
108,22678611,Megapodius eremita,113.1839195,6.903051915,84419.94363
109,22678615,Megapodius layardi,42.50688965,0.575335335,6809.734654
110,22678620,Megapodius laperouse,7.171954121,0.123967955,1488.616947
111,22678625,Megapodius pritchardii,1.209361938,0.029618044,346.171134
112,22678632,Eulipoa wallacei,37.58879027,4.011572178,49330.8552
113,22678646,Leipoa ocellata,160.8276244,60.15005709,628985.5637
114,22678649,Lerwa lerwa,108.2215882,78.80532119,831572.8794
115,22678652,Ammoperdix griseogularis,172.6205752,290.2418517,2996244.716
116,22678657,Ammoperdix heyi,183.879808,147.9127899,1664648.53
117,22678661,Tetraogallus caucasicus,46.1571338,2.570294153,23393.04152
118,22678664,Tetraogallus caspius,87.10037405,32.03738945,313939.2837
119,22678667,Tetraogallus tibetanus,103.6401349,103.7106087,1066888.827
120,22678670,Tetraogallus altaicus,105.1165369,100.8936536,819358.3236
121,22678673,Tetraogallus himalayensis,148.7024713,197.2861647,1912167.296
122,22678676,Tetraophasis obscurus,29.0178234,11.57323542,118338.8594
123,22678680,Tetraophasis szechenyii,32.67749635,49.10826612,524223.864
124,22678684,Alectoris graeca,237.7285327,71.92799033,652933.7162
125,22678691,Alectoris chukar,675.2950215,1205.521668,11387650.39
126,22678698,Alectoris philbyi,19.43816296,6.878677575,80633.94641
127,22678703,Alectoris magna,36.16792241,63.03063725,624635.1767
128,22678707,Alectoris barbara,159.6290138,133.554048,1391978.063
129,22678711,Alectoris rufa,342.1011636,125.3329706,1107484.485
130,22678714,Alectoris melanocephala,73.69846483,29.93314561,351750.3809
131,22678719,Francolinus francolinus,372.0816447,281.0588249,3027771.658
132,22678722,Francolinus pictus,77.70725596,134.1576467,1553975.602
133,22678725,Francolinus pintadeanus,273.8232167,180.3977469,2071836.21
