OBJECTID,id_no,binomial,orig_area_km2
1,42641,Abditomys latidens,788.2308658044625
2,17879,Abeomelomys sevia,9684.0123232003443
3,47761700,Abrawayaomys chebezi,52828.349708622372
4,47760825,Abrawayaomys ruschii,50733.645140197783
5,42656,Abrocoma bennettii,124893.436162467
6,18,Abrocoma boliviensis,64.739890646533169
7,136334,Abrocoma budini,405.499604516467
8,42657,Abrocoma cinerea,529161.76447969652
9,136367,Abrocoma famatina,3306.5199996530978
10,136525,Abrocoma shistacea,5496.5262713571883
11,136302,Abrocoma uspallata,14.31779191965863
12,136546,Abrocoma vaccarum,37.175662438165617
13,4803,Abrothrix andinus,612695.88692025247
14,735,Abrothrix illutea,56348.302030908868
15,4804,Abrothrix jelskii,498020.51222960767
16,740,Abrothrix lanosus,40592.927816786083
17,743,Abrothrix longipilis,717943.77546065813
18,114955961,Abrothrix manni,45194.602356108073
19,751,Abrothrix olivaceus,1083353.9192707669
20,754,Abrothrix sanborni,4530.7736026652155
21,137,Acerodon celebensis,177574.27814988451
22,138,Acerodon humilis,929.15717277043348
23,139,Acerodon jubatus,155341.68122861229
24,140,Acerodon leucotis,12751.18136431723
25,142,Acerodon mackloti,74622.804771951269
26,219,Acinonyx jubatus,5118924.6179863382
27,44936,Acomys airensis,1825614.3849002961
28,263,Acomys cahirinus,4017405.4498522459
29,264,Acomys cilicicus,17.624637518993161
30,265,Acomys cineraceus,1049535.832741498
31,136471,Acomys dimidiatus,1558191.328003604
32,266,Acomys ignitus,105257.2481436511
33,44938,Acomys johannis,426073.45462411921
34,267,Acomys kempi,569641.65943720459
35,268,Acomys louisae,688439.49345608451
36,269,Acomys minous,8344.7212614285399
37,270,Acomys mullah,160421.3060006403
38,47806447,Acomys muzei,472587.86010154989
39,271,Acomys nesiotes,9272.6738703263127
40,47806534,Acomys ngurui,261358.90775274971
41,272,Acomys percivali,222957.7977762295
42,273,Acomys russatus,701822.89262705087
43,47806307,Acomys selousi,258302.4139110019
44,44939,Acomys seurati,298863.4161382849
45,47805694,Acomys spinosissimus,101250.4592258762
46,275,Acomys subspinosus,94359.657044735213
47,276,Acomys wilsoni,1372808.149261927
48,278,Aconaemys fuscus,31934.45942056835
49,136331,Aconaemys porteri,22673.73991168461
50,279,Aconaemys sagei,40513.236606113453
51,40584,Acrobates pygmaeus,1200803.3286688081
52,512,Addax nasomaculatus,49489.78613541169
53,15595,Aegialomys galapagoensis,573.32474934586082
54,15616,Aegialomys xanthaeolus,258905.50806525041
55,548,Aepeomys lugens,9497.2833831406333
56,136484,Aepeomys reigi,13016.55843090236
57,550,Aepyceros melampus,3498070.346771047
58,40558,Aepyprymnus rufescens,566541.59683903167
59,555,Aeretes melanopterus,56110.018109822027
60,556,Aeromys tephromelas,362180.59340658918
61,557,Aeromys thomasi,446206.98954646412
62,136541,Aethalops aequalis,93009.254707628599
63,565,Aethalops alecto,158278.6197794262
64,568,Aethomys bocagei,253323.09751063271
65,569,Aethomys chrysophilus,4154310.878802076
66,571,Aethomys hindei,2482104.7342075361
67,44990,Aethomys ineptus,592263.52634753624
68,572,Aethomys kaiseri,1693324.613638852
69,574,Aethomys nyikae,897954.93984698178
70,567,Aethomys silindensis,19128.919027552161
71,575,Aethomys stannarius,170067.3303278033
72,576,Aethomys thomasi,270707.01990260521
73,712,Ailuropoda melanoleuca,34603.987166116669
74,136218,Ailurops melanotis,274.51371756192498
75,40637,Ailurops ursinus,179858.762442167
76,714,Ailurus fulgens,338840.11190358712
77,723,Akodon aerosus,114171.9245634797
78,724,Akodon affinis,42195.532535716608
79,725,Akodon albiventer,402037.21604069747
80,726,Akodon azarae,1227633.0049771389
81,728,Akodon boliviensis,217525.59775140951
82,729,Akodon budini,19876.087131764369
83,114956458,Akodon caenosus,187076.05921655981
84,730,Akodon cursor,824270.38930755679
85,731,Akodon dayi,289343.1311508349
86,114957548,Akodon dolores,809672.96707583312
87,733,Akodon fumeus,151083.93766411091
88,736,Akodon iniscatus,573426.87837318704
89,737,Akodon juninensis,115446.5324024827
90,739,Akodon kofordi,13610.576052405069
91,742,Akodon lindberghi,165506.06197948099
92,753,Akodon lutescens,118598.3448304874
93,746,Akodon mimus,57426.485870874218
94,747,Akodon molinae,429200.69599550287
95,748,Akodon mollis,265397.24500973319
96,136197,Akodon montensis,1050533.627907231
97,136260,Akodon mystax,17695.14740735251
98,752,Akodon orophilus,33884.819168001202
99,136483,Akodon paranaensis,482683.79638170352
100,136676,Akodon pervalens,60582.477205698218
101,136753,Akodon philipmyersi,6207.9140189168002
102,48300296,Akodon polopi,47745.027739409037
103,136693,Akodon reigi,65883.076708510431
104,755,Akodon sanctipaulensis,23692.830971276198
105,756,Akodon serrensis,276056.74016007321
106,757,Akodon siberiae,25253.39811840764
107,758,Akodon simulator,156798.20642880039
108,48302281,Akodon spegazzinii,219407.22585984209
109,760,Akodon subfuscus,171080.13457968659
110,761,Akodon surdus,16434.419965217239
111,762,Akodon sylvanus,39317.656858582479
112,763,Akodon toba,443678.67159591411
113,764,Akodon torques,66655.683644278717
114,766,Akodon varius,267718.8123437016
115,811,Alcelaphus buselaphus,6856234.7087514792
