"","id_no","binomial","presence","origin","seasonal","compiler","yrcompiled","citation","subspecies","subpop","source","island","tax_comm","dist_comm","generalisd","legend","kingdom","phylum","class","order_","family","genus","category","marine","terrestial","freshwater","SHAPE_Leng","SHAPE_Area"
"1",7908,"Epomops dobsonii",6,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,NA,NA,"Questionable locality",0,"Presence Uncertain","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","PTEROPODIDAE","Epomops","LC","false","true","false",1.13011762408,0.050816475434
"2",7908,"Epomops dobsonii",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,NA,NA,NA,0,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","PTEROPODIDAE","Epomops","LC","false","true","false",58.7631900229,113.682143765
"3",16104,"Paradoxurus jerdoni",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,NA,NA,NA,0,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","VIVERRIDAE","Paradoxurus","LC","false","true","false",45.7346512756,5.55923249476
"4",88149174,"Lophostoma occidentalis",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,NA,NA,NA,0,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","PHYLLOSTOMIDAE","Lophostoma","NT","false","true","false",40.3330229504,16.3958888122
"5",163314140,"Microcebus boraha",1,1,1,"IUCN",2020,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"Nosy Boraha",NA,NA,0,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CHEIROGALEIDAE","Microcebus","DD","false","true","false",1.27930784044,0.014416645772
"6",18555,"Pseudomys pilligaensis",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,NA,NA,NA,0,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","MURIDAE","Pseudomys","DD","false","true","false",3.94211152173,0.65369731724
"7",7014,"Echiothrix leucura",3,1,1,"IUCN SSC Small Mammal Specialist Group",2016,"IUCN SSC Small Mammal Specialist Group",NA,NA,NA,NA,NA,NA,0,"Possibly Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","MURIDAE","Echiothrix","EN","false","true","false",2.66981169754,0.289033978038
"8",7014,"Echiothrix leucura",1,1,1,"IUCN SSC Small Mammal Specialist Group",2016,"IUCN SSC Small Mammal Specialist Group",NA,NA,NA,NA,NA,NA,0,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","MURIDAE","Echiothrix","EN","false","true","false",2.91828821588,0.295186029917
"9",112298450,"Prosciurillus topapuensis",1,1,1,"IUCN SSC Small Mammal Specialist Group",2019,"IUCN SSC Small Mammal Specialist Group",NA,NA,"Musser et al. 2010","Sulawesi",NA,NA,0,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","SCIURIDAE","Prosciurillus","NT","false","true","false",5.34397297393,1.32005436744
"10",10156,"Hipposideros pygmaeus",1,1,1,"IUCN",2019,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"Bohol",NA,NA,0,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","HIPPOSIDERIDAE","Hipposideros","LC","false","true","false",2.95149013323,0.309916101981
"11",10156,"Hipposideros pygmaeus",1,1,1,"IUCN",2019,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,NA,NA,NA,0,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","HIPPOSIDERIDAE","Hipposideros","LC","false","true","false",12.982346175,1.25792582794
"12",10156,"Hipposideros pygmaeus",1,1,1,"IUCN",2019,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"Panay",NA,NA,0,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","HIPPOSIDERIDAE","Hipposideros","LC","false","true","false",6.88830483989,0.956493780704
"13",10156,"Hipposideros pygmaeus",1,1,1,"IUCN",2019,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"Luzon",NA,NA,0,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","HIPPOSIDERIDAE","Hipposideros","LC","false","true","false",28.181569211,3.89351901644
"14",10156,"Hipposideros pygmaeus",1,1,1,"IUCN",2019,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"Negros",NA,NA,0,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","HIPPOSIDERIDAE","Hipposideros","LC","false","true","false",6.55615822713,1.05489930334
"15",10156,"Hipposideros pygmaeus",1,1,1,"IUCN",2019,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"Mindanao",NA,NA,0,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","HIPPOSIDERIDAE","Hipposideros","LC","false","true","false",0.828113705088,0.0153534541946
"16",10156,"Hipposideros pygmaeus",1,1,1,"IUCN",2019,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"Marinduque",NA,NA,0,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","HIPPOSIDERIDAE","Hipposideros","LC","false","true","false",1.44775436415,0.0752933052058
"17",9127,"Gerbillus henleyi",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,NA,NA,NA,0,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","MURIDAE","Gerbillus","LC","false","true","false",329.612793045,338.111650138
"18",731,"Akodon dayi",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,NA,NA,NA,0,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Akodon","LC","false","true","false",24.3255459918,24.3978604648
"19",44687,"Macronycteris gigas",1,1,1,"IUCN",2020,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,NA,NA,NA,0,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","HIPPOSIDERIDAE","Macronycteris","LC","false","true","false",152.67917379,291.58643444
