OBJECTID,id_no,binomial,orig_area_km2,final_area_km2
1,137,Acerodon celebensis,177574.27814988451,7157.9637384746993
2,138,Acerodon humilis,929.15717277043348,68.955501078380436
3,139,Acerodon jubatus,155341.68122861229,8669.885272694446
4,140,Acerodon leucotis,12751.18136431723,197.3651049871346
5,142,Acerodon mackloti,74622.804771951269,723.53678066458076
6,219,Acinonyx jubatus,5118924.6179863382,1094646.1699892229
7,263,Acomys cahirinus,4017405.4498522459,998578.5558677495
8,264,Acomys cilicicus,17.624637518993161,0.68183795614297171
9,265,Acomys cineraceus,1049535.832741498,183758.94761116369
10,266,Acomys ignitus,105257.2481436511,27654.016210707181
11,267,Acomys kempi,569641.65943720459,239719.28422817509
12,268,Acomys louisae,688439.49345608451,143170.80611268579
13,269,Acomys minous,8344.7212614285399,68.288881101520445
14,270,Acomys mullah,160421.3060006403,30076.72085231774
15,271,Acomys nesiotes,9272.6738703263127,2.970280028916962
16,272,Acomys percivali,222957.7977762295,61981.959339230852
17,273,Acomys russatus,701822.89262705087,66206.177932717037
18,275,Acomys subspinosus,94359.657044735213,2828.6889455773039
19,276,Acomys wilsoni,1372808.149261927,400359.15028794529
20,279,Aconaemys sagei,40513.236606113453,2.605456591605936
21,512,Addax nasomaculatus,49489.78613541169,40008.89545014163
22,547,Handleyomys fuscatus,79252.907506009549,755.6671597823206
23,550,Aepyceros melampus,3498070.346771047,602582.39184284222
24,555,Aeretes melanopterus,56110.018109822027,181.36787678325601
25,556,Aeromys tephromelas,362180.59340658918,43114.221329321408
26,557,Aeromys thomasi,446206.98954646412,31894.595024501181
27,565,Aethalops alecto,158278.6197794262,1060.942726637543
28,567,Aethomys silindensis,19128.919027552161,749.40977424741936
29,568,Aethomys bocagei,253323.09751063271,8070.8608119069086
30,569,Aethomys chrysophilus,4154310.878802076,681199.41151718132
31,570,Micaelamys granti,197315.62949369629,11507.295953149989
32,571,Aethomys hindei,2482104.7342075361,427882.39838174777
33,572,Aethomys kaiseri,1693324.613638852,305146.29565509327
34,573,Micaelamys namaquensis,3338604.3401691918,368777.50701110059
35,574,Aethomys nyikae,897954.93984698178,112275.86849733839
36,575,Aethomys stannarius,170067.3303278033,15869.449609665249
37,576,Aethomys thomasi,270707.01990260521,10422.248037974519
38,699,Cuniculus paca,13436596.69628573,1601657.149016652
39,700,Cuniculus taczanowskii,406872.67714804137,3297.7488807610512
40,714,Ailurus fulgens,338840.11190358712,0.87638824651333724
41,723,Akodon aerosus,114171.9245634797,54.547910803743378
42,724,Akodon affinis,42195.532535716608,9.2734315619376506
43,725,Akodon albiventer,402037.21604069747,80558.280083391437
44,726,Akodon azarae,1227633.0049771389,806661.52391331468
45,727,Neomicroxus bogotensis,60126.886474500199,351.28120418363159
46,728,Akodon boliviensis,217525.59775140951,28493.105727141108
47,729,Akodon budini,19876.087131764369,1585.997164048696
48,730,Akodon cursor,824270.38930755679,11941.496577553789
49,731,Akodon dayi,289343.1311508349,140915.53193374109
50,733,Akodon fumeus,151083.93766411091,132.6302917341842
51,735,Abrothrix illutea,56348.302030908868,18979.832298565179
52,736,Akodon iniscatus,573426.87837318704,105787.7314030439
53,737,Akodon juninensis,115446.5324024827,639.04900853656932
54,738,Deltamys kempi,141586.6809033133,42556.933264030311
55,740,Abrothrix lanosus,40592.927816786083,416.22489991560161
56,743,Abrothrix longipilis,717943.77546065813,37570.752881133871
57,746,Akodon mimus,57426.485870874218,106.10197241751639
58,747,Akodon molinae,429200.69599550287,263290.78663222858
59,748,Akodon mollis,265397.24500973319,4144.8602731489327
60,750,Thaptomys nigrita,1057756.6223356731,20770.946036208948
61,751,Abrothrix olivaceus,1083353.9192707669,59264.519829985351
62,753,Akodon lutescens,118598.3448304874,16964.936208623989
63,754,Abrothrix sanborni,4530.7736026652155,76.59542293301007
64,755,Akodon sanctipaulensis,23692.830971276198,531.64716954335336
65,756,Akodon serrensis,276056.74016007321,750.17842648124918
66,758,Akodon simulator,156798.20642880039,49050.080202201592
67,760,Akodon subfuscus,171080.13457968659,1559.188065874863
68,762,Akodon sylvanus,39317.656858582479,43.302736209117917
69,763,Akodon toba,443678.67159591411,426586.52436987811
70,765,Necromys urichi,339600.50137126597,3179.14459948066
71,766,Akodon varius,267718.8123437016,77644.11170131102
72,811,Alcelaphus buselaphus,6856234.7087514792,839793.17644363071
73,850,Allactaga tetradactyla,103574.7607098892,22510.952879608711
74,851,Allactaga balikunica,234647.51169947549,140416.31766314589
75,852,Allactaga bullata,1563884.3480746851,721283.40464380546
76,854,Allactaga euphratica,758044.85404741403,115791.0737507796
77,855,Allactaga firouzi,1316.154590258808,820.12866124821221
78,856,Allactaga hotsoni,497553.53499399108,290303.48321071942
79,857,Allactaga major,4297420.7669760576,781514.54235383519
80,858,Allactaga severtzovi,706370.88752520957,382736.92275637819
81,859,Allactaga sibirica,5412945.8996662889,1705049.5568664379
82,860,Allactaga vinogradovi,53728.775753984439,9889.5642876492893
83,861,Allactodipus bobrinskii,275812.54203097889,176613.5628896906
84,865,Allenopithecus nigroviridis,526619.81683768891,138521.9182222762
85,868,Allocebus trichotis,7303.5352571858393,23.60795388291724
86,875,Allocricetulus eversmanni,1776829.0653806259,257356.07719218891
87,899,Vulpes lagopus,10813632.299729301,493517.09989411471
88,914,Alouatta pigra,246719.00421833491,62531.013800311353
89,918,Alouatta ululata,99442.849651357174,10138.47054483685
90,922,Alouatta juara,2337203.928254596,220713.4987820361
91,948,Alticola albicaudus,80162.81676815523,132.76418159387049
92,949,Alticola argentatus,1380712.6561384201,367964.76184388011
93,950,Alticola barakshin,225996.05238822071,73019.479395001079
94,951,Alticola lemminus,2068145.3912542779,51011.700671618208
95,952,Alticola macrotis,379231.70438007388,8845.0266409333544
96,953,Alticola montosa,19531.493196661111,155.56290351878411
97,955,Alticola semicanus,671214.02538191457,59167.341115289142
98,956,Alticola stoliczkanus,2305720.152308044,495884.53278569941
99,958,Alticola strelzowi,441283.78005748207,38641.434824125419
100,959,Alticola tuvinicus,134541.08862276541,3644.7276668624309
101,1089,Neamblysomus julianae,11984.44819917829,1492.8659407038101
102,1137,Ametrida centurio,5765203.2368425149,610801.50952854252
103,1140,Ammodillus imbellis,210245.46028704691,26365.052355097141
104,1141,Ammodorcas clarkei,93566.068059180354,3532.0987717891762
105,1149,Ammospermophilus nelsoni,16430.9687859839,7641.3345728437007
106,1151,Ammotragus lervia,1416975.4214242089,132117.76638646939
107,1154,Amorphochilus schnablii,178596.50363666299,37089.360341030602
108,1264,Andalgalomys olrogi,57113.665806880323,43072.521949165253
109,1265,Andalgalomys pearsoni,139014.81254726581,134335.94881281329
110,1271,Andinomys edax,228612.35270637041,22577.52982398514
