"","Binomial.C.80","Area.N.16.6","FID_2.C.254","TID.C.10","Group.C.20","Value.N.4.0"
"1","Ablepharus budaki",121180.901151,2,"R06993","lizard",1
"2","Ablepharus darvazi",32444.740178,4,"R06995","lizard",1
"3","Ablepharus grayanus",130759.911684,6,"R06997","lizard",1
"4","Ablepharus kitaibelii",684246.076556,7,"R06998","lizard",1
"5","Ablepharus rueppellii",62791.450621,10,"R07001","lizard",1
"6","Abronia anzuetoi",38.322097,11,"R00667","lizard",1
"7","Abronia aurita",152.897896,12,"R00668","lizard",1
"8","Abronia bogerti",464.162892,13,"R00669","lizard",1
"9","Abronia campbelli",9.996281,14,"R00670","lizard",1
"10","Abronia chiszari",405.951211,15,"R00671","lizard",1
"11","Abronia deppii",4804.350011,16,"R00672","lizard",1
"12","Abronia fimbriata",3200.020724,17,"R00673","lizard",1
"13","Abronia frosti",36.302252,18,"R00674","lizard",1
"14","Abronia fuscolabialis",881.151606,19,"R00675","lizard",1
"15","Abronia gaiophantasma",2799.210844,20,"R00676","lizard",1
"16","Abronia graminea",2036.823122,21,"R00677","lizard",1
"17","Abronia leurolepis",121.299851,22,"R00678","lizard",1
"18","Abronia lythrochila",1894.083745,23,"R00679","lizard",1
"19","Abronia martindelcampoi",1896.425854,24,"R00680","lizard",1
"20","Abronia matudai",894.95182,25,"R00681","lizard",1
"21","Abronia meledona",45.495206,26,"R00682","lizard",1
"22","Abronia mitchelli",232.142506,27,"R00683","lizard",1
"23","Abronia mixteca",3601.013535,28,"R00684","lizard",1
"24","Abronia montecristoi",4678.060715,29,"R00685","lizard",1
"25","Abronia oaxacae",3396.498795,30,"R00686","lizard",1
"26","Abronia ochoterenai",176.521317,31,"R00687","lizard",1
"27","Abronia ornelasi",363.144037,32,"R00688","lizard",1
"28","Abronia ramirezi",242.281435,33,"R00689","lizard",1
"29","Abronia reidi",222.657374,34,"R00690","lizard",1
"30","Abronia salvadorensis",82.489679,35,"R00691","lizard",1
"31","Abronia smithi",1998.011645,36,"R00692","lizard",1
"32","Abronia taeniata",7721.269707,37,"R00693","lizard",1
"33","Abronia vasconcelosii",4051.643595,38,"R00694","lizard",1
"34","Acanthocercus adramitanus",259180.432575,39,"R00030","lizard",1
"35","Acanthocercus annectens",681636.047352,40,"R00031","lizard",1
"36","Acanthocercus atricollis",5952733.383888,41,"R00032","lizard",1
"37","Acanthocercus branchi",161275.695497,42,"R00033","lizard",1
"38","Acanthocercus cyanogaster",1455649.932417,43,"R00034","lizard",1
"39","Acanthocercus guentherpetersi",38842.442726,44,"R00035","lizard",1
"40","Acanthocercus phillipsii",85904.620375,45,"R00036","lizard",1
"41","Acanthocercus yemensis",44639.220337,46,"R00037","lizard",1
"42","Acanthochelys macrocephala",483984.053447,47,"R09913","turtle",1
"43","Acanthochelys pallidipectoris",321161.488958,48,"R09914","turtle",1
"44","Acanthochelys radiolata",383928.106768,49,"R09915","turtle",1
"45","Acanthochelys spixii",1068230.689466,50,"R09916","turtle",1
"46","Acanthodactylus aegyptius",242805.033992,51,"R05245","lizard",1
"47","Acanthodactylus ahmaddisii",4776.199241,52,"R05246","lizard",1
"48","Acanthodactylus arabicus",127002.141938,53,"R05247","lizard",1
"49","Acanthodactylus aureus",271936.90961,54,"R05248","lizard",1
"50","Acanthodactylus bedriagai",192748.10611,55,"R05249","lizard",1
"51","Acanthodactylus beershebensis",5380.055534,56,"R05250","lizard",1
"52","Acanthodactylus blanci",130793.260348,57,"R05251","lizard",1
"53","Acanthodactylus blanfordii",921917.282311,58,"R05252","lizard",1
"54","Acanthodactylus boueti",342755.464254,60,"R05254","lizard",1
"55","Acanthodactylus busacki",211576.425324,61,"R05255","lizard",1
"56","Acanthodactylus cantoris",1418005.799528,62,"R05256","lizard",1
"57","Acanthodactylus dumerilii",1617810.351671,63,"R05257","lizard",1
"58","Acanthodactylus erythrurus",1030081.711033,64,"R05258","lizard",1
"59","Acanthodactylus felicis",147439.428063,65,"R05259","lizard",1
"60","Acanthodactylus gongrorhynchatus",132080.25104,66,"R05260","lizard",1
"61","Acanthodactylus guineensis",2113536.353724,68,"R05262","lizard",1
"62","Acanthodactylus haasi",517700.037639,69,"R05263","lizard",1
"63","Acanthodactylus harranensis",4831.027471,71,"R05265","lizard",1
"64","Acanthodactylus khamirensis",9.996281,72,"R05266","lizard",1
