OBJECTID,FID_modeled_reptiles,Binomial,Group,Area (km2)
1,0,Ablepharus budaki,lizard,6762.47732
2,1,Ablepharus darvazi,lizard,422.4893975
3,2,Ablepharus grayanus,lizard,73616.26889
4,3,Ablepharus kitaibelii,lizard,72303.94736
5,4,Ablepharus rueppellii,lizard,5419.062966
6,10,Abronia deppii,lizard,30.98284197
7,27,Abronia ramirezi,lizard,0.425786884
8,33,Acanthocercus adramitanus,lizard,7665.541142
9,34,Acanthocercus annectens,lizard,65592.73794
10,35,Acanthocercus atricollis,lizard,983305.5425
11,36,Acanthocercus branchi,lizard,9574.217993
12,37,Acanthocercus cyanogaster,lizard,237179.06
13,38,Acanthocercus guentherpetersi,lizard,4827.114786
14,39,Acanthocercus phillipsii,lizard,32022.59972
15,41,Acanthochelys macrocephala,turtle,306839.5462
16,42,Acanthochelys pallidipectoris,turtle,310054.1321
17,43,Acanthochelys radiolata,turtle,14592.04946
18,44,Acanthochelys spixii,turtle,230681.9074
19,45,Acanthodactylus aegyptius,lizard,61113.62434
20,47,Acanthodactylus arabicus,lizard,5667.657335
21,48,Acanthodactylus aureus,lizard,72905.30177
22,49,Acanthodactylus bedriagai,lizard,51791.3506
23,50,Acanthodactylus beershebensis,lizard,1843.119667
24,51,Acanthodactylus blanci,lizard,31438.53105
25,52,Acanthodactylus blanfordii,lizard,383687.186
26,53,Acanthodactylus boueti,lizard,1949.339984
27,54,Acanthodactylus busacki,lizard,20871.36969
28,55,Acanthodactylus cantoris,lizard,885619.0646
29,56,Acanthodactylus dumerilii,lizard,521566.127
30,57,Acanthodactylus erythrurus,lizard,73367.21465
31,58,Acanthodactylus felicis,lizard,18762.20302
32,59,Acanthodactylus gongrorhynchatus,lizard,84295.23696
33,60,Acanthodactylus guineensis,lizard,514687.4014
34,61,Acanthodactylus haasi,lizard,135696.2288
35,64,Acanthodactylus lineomaculatus,lizard,10905.15716
36,65,Acanthodactylus longipes,lizard,3007122.82
37,66,Acanthodactylus maculatus,lizard,330931.3118
38,67,Acanthodactylus masirae,lizard,1840.115779
39,68,Acanthodactylus micropholis,lizard,225183.4507
40,69,Acanthodactylus opheodurus,lizard,298972.6504
41,70,Acanthodactylus pardalis,lizard,26405.65978
42,71,Acanthodactylus robustus,lizard,4964.647172
43,72,Acanthodactylus savignyi,lizard,7770.24123
44,73,Acanthodactylus schmidti,lizard,798188.3667
45,74,Acanthodactylus schreiberi,lizard,0.098700696
46,75,Acanthodactylus senegalensis,lizard,877739.7475
47,76,Acanthodactylus spinicauda,lizard,382.8011659
48,77,Acanthodactylus taghitensis,lizard,68055.09753
49,78,Acanthodactylus tilburyi,lizard,40517.04221
50,79,Acanthodactylus tristrami,lizard,1870.371442
51,80,Acanthodactylus yemenicus,lizard,20558.4525
52,81,Acanthophis antarcticus,snake,664076.8557
53,82,Acanthophis hawkei,snake,130829.2431
54,83,Acanthophis laevis,snake,82578.6059
55,84,Acanthophis praelongus,snake,163076.3051
56,85,Acanthophis pyrrhus,snake,1156125.321
57,86,Acanthophis rugosus,snake,4248.4869
58,88,Acanthosaura armata,lizard,23347.73236
59,92,Acanthosaura cardamomensis,lizard,189.0182589
60,93,Acanthosaura coronata,lizard,6.312790143
61,94,Acanthosaura crucigera,lizard,39627.70116
62,95,Acanthosaura lepidogaster,lizard,330174.6869
63,96,Acanthosaura nataliae,lizard,49.21648531
64,98,Achalinus ater,snake,37.78573333
65,99,Achalinus formosanus,snake,4421.053107
66,100,Achalinus hainanus,snake,24.47161014
67,102,Achalinus meiguensis,snake,2.670309038
68,103,Achalinus niger,snake,158.2430331
