binomial,fossilArea
Abavorana luctuosa,5843.018536
Abavorana nazgul,0
Acanthixalus sonjae,0
Acanthixalus spinosus,110736.9528
Acris crepitans,252980.8566
Acris gryllus,93082.43895
Adelastes hylonomos,0
Adelophryne adiastola,0
Adelophryne baturitensis,0
Adelophryne gutturosa,0
Adelophryne maranguapensis,0
Adelophryne pachydactyla,0
Adelophryne patamona,0
Adelotus brevis,50765.62389
Adelphobates castaneoticus,1864.508214
Adelphobates galactonotus,10717.19905
Adelphobates quinquevittatus,64495.4151
Adenomera ajurauna,0
Adenomera andreae,705189.0799
Adenomera araucaria,41.46099513
Adenomera bokermanni,3938.614382
Adenomera coca,0
Adenomera diptyx,241335.8647
Adenomera heyeri,1010.410672
Adenomera hylaedactyla,1099383.1
Adenomera lutzi,0
Adenomera marmorata,6145.970548
Adenomera martinezi,111168.3906
Adenomera nana,245.9618026
Adenomera thomei,643.4243825
Adenomus kandianus,0
Adenomus kelaartii,0
Afghanodon mustersi,0
Afrixalus aureus,19618.06365
Afrixalus brachycnemis,68957.21658
Afrixalus clarkei,0
Afrixalus crotalus,35541.19893
Afrixalus delicatus,164121.1771
Afrixalus dorsalis,61691.28439
Afrixalus dorsimaculatus,0
Afrixalus enseticola,0
Afrixalus equatorialis,139141.797
Afrixalus fornasini,181163.5042
Afrixalus fulvovittatus,0
Afrixalus knysnae,83.58129678
Afrixalus lacteus,0
Afrixalus laevis,99290.72969
Afrixalus leucostictus,0
Afrixalus lindholmi,0
Afrixalus morerei,0
Afrixalus nigeriensis,20661.04757
Afrixalus orophilus,0
Afrixalus osorioi,135182.6936
Afrixalus paradorsalis,4491.171091
Afrixalus quadrivittatus,644245.1762
Afrixalus schneideri,0
Afrixalus septentrionalis,10132.27768
Afrixalus spinifrons,206.9011589
Afrixalus stuhlmanni,15229.11438
Afrixalus sylvaticus,1856.898891
Afrixalus uluguruensis,0
Afrixalus upembae,0
Afrixalus vibekensis,0
Afrixalus vittiger,103131.1361
Afrixalus weidholzi,66995.7874
Afrixalus wittei,150515.373
Agalychnis annae,0
Agalychnis aspera,1424.488574
Agalychnis buckleyi,0
Agalychnis callidryas,101326.4205
Agalychnis dacnicolor,19579.9924
Agalychnis danieli,0
Agalychnis granulosa,0.637781429
Agalychnis hulli,0
Agalychnis lemur,3.031806534
Agalychnis medinae,0
Agalychnis moreletii,721.0710586
Agalychnis psilopygion,1.194760428
Agalychnis saltator,447.9679295
Agalychnis spurrelli,9009.693458
Agalychnis terranova,254.1565486
Aglyptodactylus australis,0
Aglyptodactylus chorus,233.6486303
Aglyptodactylus inguinalis,3733.342293
Aglyptodactylus laticeps,35.07942507
Aglyptodactylus madagascariensis,5508.640821
Aglyptodactylus securifer,15288.99011
Alcalus baluensis,3234.415557
Alcalus mariae,0
Alcalus rajae,0
Alcalus sariba,47.93360915
Alcalus tasanae,0.438286166
Alexteroon hypsiphonus,5710.250721
Alexteroon jynx,0
Alexteroon obstetricans,741.7238545
Allobates alessandroi,0
Allobates algorei,0
Allobates amissibilis,0
Allobates bromelicola,0
Allobates brunneus,43374.66257
Allobates caeruleodactylus,0
Allobates caribe,0
Allobates cepedai,0
Allobates chalcopis,0
Allobates conspicuus,30829.82253
Allobates crombiei,29.6242939
Allobates femoralis,332115.5112
Allobates fratisenescus,0
Allobates fuscellus,0
Allobates gasconi,0
Allobates goianus,0
Allobates granti,0
Allobates humilis,0
Allobates ignotus,0
Allobates insperatus,0
Allobates juanii,9.425783563
Allobates kingsburyi,0
Allobates mandelorum,0
Allobates marchesianus,92941.14887
Allobates masniger,877.1530834
Allobates mcdiarmidi,0
Allobates melanolaemus,0
