binomial,genus,family,fossilArea,Area,taxon
Abavorana luctuosa,Abavorana,RANIDAE,5843.018536,128378.7258,Amphibian
Abavorana nazgul,Abavorana,RANIDAE,0,7.399751295,Amphibian
Acanthixalus sonjae,Acanthixalus,HYPEROLIIDAE,0,6030.018857,Amphibian
Acanthixalus spinosus,Acanthixalus,HYPEROLIIDAE,110736.9528,1213650.158,Amphibian
Acris crepitans,Acris,HYLIDAE,252980.8566,3209431.496,Amphibian
Acris gryllus,Acris,HYLIDAE,93082.43895,667449.7857,Amphibian
Adelastes hylonomos,Adelastes,MICROHYLIDAE,0,139.4881832,Amphibian
Adelophryne adiastola,Adelophryne,ELEUTHERODACTYLIDAE,0,220709.529,Amphibian
Adelophryne baturitensis,Adelophryne,ELEUTHERODACTYLIDAE,0,1033.142578,Amphibian
Adelophryne gutturosa,Adelophryne,ELEUTHERODACTYLIDAE,0,257550.9201,Amphibian
Adelophryne maranguapensis,Adelophryne,ELEUTHERODACTYLIDAE,0,32.53890943,Amphibian
Adelophryne pachydactyla,Adelophryne,ELEUTHERODACTYLIDAE,0,5796.998852,Amphibian
Adelophryne patamona,Adelophryne,ELEUTHERODACTYLIDAE,0,19.62652076,Amphibian
Adelotus brevis,Adelotus,LIMNODYNASTIDAE,50765.62389,478481.7616,Amphibian
Adelphobates castaneoticus,Adelphobates,DENDROBATIDAE,1864.508214,24244.25786,Amphibian
Adelphobates galactonotus,Adelphobates,DENDROBATIDAE,10717.19905,568844.9164,Amphibian
Adelphobates quinquevittatus,Adelphobates,DENDROBATIDAE,64495.4151,1439497.903,Amphibian
Adenomera ajurauna,Adenomera,LEPTODACTYLIDAE,0,228.6033421,Amphibian
Adenomera andreae,Adenomera,LEPTODACTYLIDAE,705189.0799,5977267.993,Amphibian
Adenomera araucaria,Adenomera,LEPTODACTYLIDAE,41.46099513,3941.478177,Amphibian
Adenomera bokermanni,Adenomera,LEPTODACTYLIDAE,3938.614382,229891.4412,Amphibian
Adenomera coca,Adenomera,LEPTODACTYLIDAE,0,82.43042061,Amphibian
Adenomera diptyx,Adenomera,LEPTODACTYLIDAE,241335.8647,455280.5308,Amphibian
Adenomera heyeri,Adenomera,LEPTODACTYLIDAE,1010.410672,209117.4747,Amphibian
Adenomera hylaedactyla,Adenomera,LEPTODACTYLIDAE,1099383.1,9406358.369,Amphibian
Adenomera lutzi,Adenomera,LEPTODACTYLIDAE,0,2985.450752,Amphibian
Adenomera marmorata,Adenomera,LEPTODACTYLIDAE,6145.970548,228093.4209,Amphibian
Adenomera martinezi,Adenomera,LEPTODACTYLIDAE,111168.3906,673550.0826,Amphibian
Adenomera nana,Adenomera,LEPTODACTYLIDAE,245.9618026,13940.68116,Amphibian
Adenomera thomei,Adenomera,LEPTODACTYLIDAE,643.4243825,5936.176638,Amphibian
Adenomus kandianus,Adenomus,BUFONIDAE,0,267.4349351,Amphibian
Adenomus kelaartii,Adenomus,BUFONIDAE,0,11262.45246,Amphibian
Afghanodon mustersi,Afghanodon,HYNOBIIDAE,0,306.8672716,Amphibian
Afrixalus aureus,Afrixalus,HYPEROLIIDAE,19618.06365,100277.5601,Amphibian
Afrixalus brachycnemis,Afrixalus,HYPEROLIIDAE,68957.21658,576440.5161,Amphibian
Afrixalus clarkei,Afrixalus,HYPEROLIIDAE,0,1426.084937,Amphibian
Afrixalus crotalus,Afrixalus,HYPEROLIIDAE,35541.19893,196477.663,Amphibian
Afrixalus delicatus,Afrixalus,HYPEROLIIDAE,164121.1771,748759.7986,Amphibian
Afrixalus dorsalis,Afrixalus,HYPEROLIIDAE,61691.28439,609640.483,Amphibian
Afrixalus dorsimaculatus,Afrixalus,HYPEROLIIDAE,0,3034.303669,Amphibian
Afrixalus enseticola,Afrixalus,HYPEROLIIDAE,0,3280.781123,Amphibian
Afrixalus equatorialis,Afrixalus,HYPEROLIIDAE,139141.797,553134.8012,Amphibian
Afrixalus fornasini,Afrixalus,HYPEROLIIDAE,181163.5042,944389.1215,Amphibian
Afrixalus fulvovittatus,Afrixalus,HYPEROLIIDAE,0,95612.22625,Amphibian
Afrixalus knysnae,Afrixalus,HYPEROLIIDAE,83.58129678,1597.250632,Amphibian
Afrixalus lacteus,Afrixalus,HYPEROLIIDAE,0,609.523545,Amphibian
Afrixalus laevis,Afrixalus,HYPEROLIIDAE,99290.72969,1211518.646,Amphibian
Afrixalus leucostictus,Afrixalus,HYPEROLIIDAE,0,339621.5825,Amphibian
Afrixalus lindholmi,Afrixalus,HYPEROLIIDAE,0,0.591686259,Amphibian
Afrixalus morerei,Afrixalus,HYPEROLIIDAE,0,9049.210075,Amphibian
Afrixalus nigeriensis,Afrixalus,HYPEROLIIDAE,20661.04757,357704.8163,Amphibian
Afrixalus orophilus,Afrixalus,HYPEROLIIDAE,0,17815.24363,Amphibian
Afrixalus osorioi,Afrixalus,HYPEROLIIDAE,135182.6936,1827044.695,Amphibian
Afrixalus paradorsalis,Afrixalus,HYPEROLIIDAE,4491.171091,450752.0297,Amphibian
Afrixalus quadrivittatus,Afrixalus,HYPEROLIIDAE,644245.1762,5187441.815,Amphibian
Afrixalus schneideri,Afrixalus,HYPEROLIIDAE,0,5.103003616,Amphibian
Afrixalus septentrionalis,Afrixalus,HYPEROLIIDAE,10132.27768,36662.60738,Amphibian
Afrixalus spinifrons,Afrixalus,HYPEROLIIDAE,206.9011589,58906.45252,Amphibian
Afrixalus stuhlmanni,Afrixalus,HYPEROLIIDAE,15229.11438,109434.9665,Amphibian
Afrixalus sylvaticus,Afrixalus,HYPEROLIIDAE,1856.898891,7963.170115,Amphibian
Afrixalus uluguruensis,Afrixalus,HYPEROLIIDAE,0,593.2721353,Amphibian
Afrixalus upembae,Afrixalus,HYPEROLIIDAE,0,5900.00266,Amphibian
