orig_no,taxon_no,record_type,flags,taxon_rank,taxon_name,common_name,difference,accepted_no,accepted_rank,accepted_name,parent_no,container_no,reference_no,is_extant,n_occs,early_interval,late_interval,taxon_size,extant_size,phylum,class,order,family,genus,type_taxon,taxon_environment,environment_basis,motility,life_habit,vision,diet,reproduction,ontogeny,ecospace_comments,composition,architecture,thickness,reinforcement
119360,340743,txn,NA,species,Rhynchonkos stovalli,NA,NA,119360,species,Rhynchonkos stovalli,37308,NA,26635,extinct,1,Kungurian,NA,1,0,Chordata,Amphibia,Microsauria,Goniorhynchidae,Rhynchonkos,NA,"brackish,freshwater,terrestrial",Tetrapoda,actively mobile,NA,NA,NA,dispersal=water,NA,NA,phosphatic,NA,NA,NA
119362,345303,txn,NA,species,Diplocaulus primus,NA,NA,119362,species,Diplocaulus primus,37264,NA,26635,extinct,3,Kungurian,NA,1,0,Chordata,Amphibia,NO_ORDER_SPECIFIED,Diplocaulidae,Diplocaulus,NA,"brackish,freshwater,terrestrial",Tetrapoda,actively mobile,NA,NA,NA,dispersal=water,NA,NA,phosphatic,NA,NA,NA
120886,120886,txn,NA,species,Diplocaulus recurvatus,NA,NA,120886,species,Diplocaulus recurvatus,37264,NA,26927,extinct,18,Artinskian,Wordian,1,0,Chordata,Amphibia,NO_ORDER_SPECIFIED,Diplocaulidae,Diplocaulus,NA,"brackish,freshwater,terrestrial",Tetrapoda,actively mobile,NA,NA,NA,dispersal=water,NA,NA,phosphatic,NA,NA,NA
70396,70396,txn,NA,species,Diplocaulus salamandroides,NA,NA,70396,species,Diplocaulus salamandroides,37264,NA,57922,extinct,2,Kasimovian,Gzhelian,1,0,Chordata,Amphibia,NO_ORDER_SPECIFIED,Diplocaulidae,Diplocaulus,NA,"brackish,freshwater,terrestrial",Tetrapoda,actively mobile,NA,NA,NA,dispersal=water,NA,NA,phosphatic,NA,NA,NA
227035,227035,txn,NA,species,Diploceraspis burkei,NA,NA,227035,species,Diploceraspis burkei,37265,NA,40656,extinct,3,Kasimovian,Sakmarian,1,0,Chordata,Amphibia,NO_ORDER_SPECIFIED,Diplocaulidae,Diploceraspis,NA,"brackish,freshwater,terrestrial",Tetrapoda,actively mobile,NA,NA,NA,dispersal=water,NA,NA,phosphatic,NA,NA,NA
227053,227053,txn,NA,species,Sauropleura bairdi,NA,NA,227053,species,Sauropleura bairdi,37275,NA,55379,extinct,1,Cisuralian,Wordian,1,0,Chordata,Amphibia,NO_ORDER_SPECIFIED,Urocordylidae,Sauropleura,NA,"brackish,freshwater,terrestrial",Tetrapoda,actively mobile,NA,NA,NA,dispersal=water,NA,NA,phosphatic,NA,NA,NA
156896,156896,txn,NA,species,Arizonerpeton wellsi,NA,NA,156896,species,Arizonerpeton wellsi,37277,NA,31089,extinct,1,Bashkirian,Moscovian,1,0,Chordata,Amphibia,NO_ORDER_SPECIFIED,NO_FAMILY_SPECIFIED,Arizonerpeton,NA,"brackish,freshwater,terrestrial",Tetrapoda,actively mobile,NA,NA,NA,dispersal=water,NA,NA,phosphatic,NA,NA,NA
66100,66100,txn,I,species,Triaenopus lulli,NA,NA,66100,species,Triaenopus lulli,66099,NA,13651,extinct,1,Hettangian,NA,1,0,Chordata,Amphibia,NO_ORDER_SPECIFIED,NO_FAMILY_SPECIFIED,Triaenopus,NA,"brackish,freshwater,terrestrial",Tetrapoda,actively mobile,NA,NA,NA,dispersal=water,NA,NA,phosphatic,NA,NA,NA
229305,229305,txn,NA,species,Amphibamus grandiceps,NA,NA,229305,species,Amphibamus grandiceps,37019,NA,40834,extinct,4,Moscovian,Kasimovian,1,0,Chordata,Amphibia,Temnospondyli,Amphibamidae,Amphibamus,NA,"brackish,freshwater,terrestrial",Tetrapoda,actively mobile,amphibious,NA,carnivore,dispersal=water,NA,NA,phosphatic,NA,NA,NA
229338,345482,txn,NA,species,Platyrhinops lyelli,NA,NA,229338,species,Platyrhinops lyelli,123089,NA,28413,extinct,3,Moscovian,Kasimovian,1,0,Chordata,Amphibia,Temnospondyli,Amphibamidae,Platyrhinops,NA,"brackish,freshwater,terrestrial",Tetrapoda,actively mobile,amphibious,NA,carnivore,dispersal=water,NA,NA,phosphatic,NA,NA,NA
193400,193400,txn,NA,species,Rubeostratilia texensis,NA,NA,193400,species,Rubeostratilia texensis,193399,NA,36836,extinct,1,Asselian,Sakmarian,1,0,Chordata,Amphibia,Temnospondyli,Amphibamidae,Rubeostratilia,NA,"brackish,freshwater,terrestrial",Tetrapoda,actively mobile,amphibious,NA,carnivore,dispersal=water,NA,NA,phosphatic,NA,NA,NA
345646,345646,txn,NA,species,Branchiosaurus darrahi,NA,NA,345646,species,Branchiosaurus darrahi,37039,NA,67479,extinct,1,Kasimovian,Gzhelian,1,0,Chordata,Amphibia,Temnospondyli,Branchiosauridae,Branchiosaurus,NA,"brackish,freshwater,terrestrial",Tetrapoda,actively mobile,amphibious,NA,carnivore,dispersal=water,NA,NA,phosphatic,NA,NA,NA
