orig_no,taxon_no,record_type,flags,taxon_rank,taxon_name,common_name,difference,accepted_no,accepted_rank,accepted_name,parent_no,container_no,reference_no,is_extant,n_occs,early_interval,late_interval,taxon_size,extant_size,phylum,class,order,family,genus,type_taxon,taxon_environment,environment_basis,motility,life_habit,vision,diet,reproduction,ontogeny,ecospace_comments,composition,architecture,thickness,reinforcement
227046,227046,txn,NA,species,Odonterpeton triangulare,NA,NA,227046,species,Odonterpeton triangulare,37318,NA,58526,extinct,1,Moscovian,Kasimovian,1,0,Chordata,Amphibia,Microsauria,Odonterpetontidae,Odonterpeton,NA,"brackish,freshwater,terrestrial",Tetrapoda,actively mobile,NA,NA,NA,dispersal=water,NA,NA,phosphatic,NA,NA,NA
119360,340743,txn,NA,species,Rhynchonkos stovalli,NA,NA,119360,species,Rhynchonkos stovalli,37308,NA,26635,extinct,1,Kungurian,NA,1,0,Chordata,Amphibia,Microsauria,Goniorhynchidae,Rhynchonkos,NA,"brackish,freshwater,terrestrial",Tetrapoda,actively mobile,NA,NA,NA,dispersal=water,NA,NA,phosphatic,NA,NA,NA
90683,90683,txn,NA,species,Hapsidopareion lepton,NA,NA,90683,species,Hapsidopareion lepton,37286,NA,19411,extinct,1,Kungurian,NA,1,0,Chordata,Amphibia,Microsauria,Hapsidopareiidae,Hapsidopareion,NA,"brackish,freshwater,terrestrial",Tetrapoda,actively mobile,NA,NA,NA,dispersal=water,NA,NA,phosphatic,NA,NA,NA
137291,137291,txn,NA,species,Llistrofus pricei,NA,NA,137291,species,Llistrofus pricei,37287,NA,28692,extinct,1,Artinskian,NA,1,0,Chordata,Amphibia,Microsauria,Hapsidopareiidae,Llistrofus,NA,"brackish,freshwater,terrestrial",Tetrapoda,actively mobile,NA,NA,NA,dispersal=water,NA,NA,phosphatic,NA,NA,NA
320818,320818,txn,NA,species,Trihecaton howardinus,NA,NA,320818,species,Trihecaton howardinus,37306,NA,57812,extinct,2,Moscovian,Gzhelian,1,0,Chordata,Amphibia,Microsauria,Trihecatontidae,Trihecaton,NA,"brackish,freshwater,terrestrial",Tetrapoda,actively mobile,NA,NA,NA,dispersal=water,NA,NA,phosphatic,NA,NA,NA
227062,227062,txn,NA,species,Tuditanus punctulatus,NA,NA,227062,species,Tuditanus punctulatus,37284,NA,58586,extinct,1,Moscovian,Kasimovian,1,0,Chordata,Amphibia,Microsauria,Tuditanidae,Tuditanus,NA,"brackish,freshwater,terrestrial",Tetrapoda,actively mobile,NA,NA,NA,dispersal=water,NA,NA,phosphatic,NA,NA,NA
120921,120921,txn,NA,species,Cymatorhiza kittsi,NA,NA,120921,species,Cymatorhiza kittsi,120920,NA,7597,extinct,2,Roadian,Wordian,1,0,Chordata,Amphibia,Microsauria,NO_FAMILY_SPECIFIED,Cymatorhiza,NA,"brackish,freshwater,terrestrial",Tetrapoda,actively mobile,NA,NA,NA,dispersal=water,NA,NA,phosphatic,NA,NA,NA
320820,382000,txn,NA,species,Novascoticus multidens,NA,NA,320820,species,Novascoticus multidens,320819,NA,58386,extinct,1,Bashkirian,Moscovian,1,0,Chordata,Amphibia,Microsauria,NO_FAMILY_SPECIFIED,Novascoticus,NA,"brackish,freshwater,terrestrial",Tetrapoda,actively mobile,NA,NA,NA,dispersal=water,NA,NA,phosphatic,NA,NA,NA
362289,362289,txn,NA,species,Pariostegus myops,NA,NA,362289,species,Pariostegus myops,362288,NA,58984,extinct,1,Norian,NA,1,0,Chordata,Amphibia,Microsauria,NO_FAMILY_SPECIFIED,Pariostegus,NA,"brackish,freshwater,terrestrial",Tetrapoda,actively mobile,NA,NA,NA,dispersal=water,NA,NA,phosphatic,NA,NA,NA
227377,227377,txn,NA,species,Utaherpeton franklini,NA,NA,227377,species,Utaherpeton franklini,227376,NA,57328,extinct,1,Bashkirian,NA,1,0,Chordata,Amphibia,Microsauria,NO_FAMILY_SPECIFIED,Utaherpeton,NA,"brackish,freshwater,terrestrial",Tetrapoda,actively mobile,NA,NA,NA,dispersal=water,NA,NA,phosphatic,NA,NA,NA
